route,eps,min_samples,metric,max_samples,embedding_dim,sample_count,cluster_count_excluding_noise,noise_count,noise_rate,largest_cluster_size,largest_cluster_rate,adjusted_rand_index_non_noise,normalized_mutual_info_non_noise,elapsed_seconds
hog,0.2,4,euclidean,20000,128,20000,0,20000,1.0,0,0.0,0.0,0.0,0.5836141668260098
hog,0.3,4,euclidean,20000,128,20000,17,19924,0.9962,6,0.0003,0.9516451944937733,0.9815830610657256,0.336024958640337
hog,0.4,4,euclidean,20000,128,20000,339,18122,0.9061,321,0.01605,0.10304926851872435,0.9213164542530096,0.3565214998088777
hog,0.5,4,euclidean,20000,128,20000,1117,10801,0.54005,2911,0.14555,0.005251820446478835,0.794757300432746,0.3530842917971313
hog,0.6,4,euclidean,20000,128,20000,1,13,0.00065,19987,0.99935,0.0,0.0,0.4163690423592925
hog,0.7,4,euclidean,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,0.6989028342068195
hog,0.8,4,euclidean,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,1.348095125053078
hog,0.9,4,euclidean,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,2.3347292081452906
hog,1.0,4,euclidean,20000,128,20000,1,0,0.0,20000,1.0,0.0,0.0,2.7829012502916157
