threshold,known_accept_rate,known_top1_accuracy_after_threshold,false_reject_rate,unknown_reject_rate,false_accept_rate
0.200000,1.0,0.7142423557137246,0.0,0.0,1.0
0.210000,1.0,0.7142423557137246,0.0,0.0,1.0
0.220000,1.0,0.7142423557137246,0.0,0.0,1.0
0.230000,1.0,0.7142423557137246,0.0,0.0,1.0
0.240000,1.0,0.7142423557137246,0.0,0.0,1.0
0.250000,1.0,0.7142423557137246,0.0,0.0,1.0
0.260000,1.0,0.7142423557137246,0.0,0.0,1.0
0.270000,1.0,0.7142423557137246,0.0,0.0,1.0
0.280000,1.0,0.7142423557137246,0.0,0.0,1.0
0.290000,1.0,0.7142423557137246,0.0,0.0,1.0
0.300000,1.0,0.7142423557137246,0.0,0.0,1.0
0.310000,1.0,0.7142423557137246,0.0,0.0,1.0
0.320000,1.0,0.7142423557137246,0.0,0.0,1.0
0.330000,1.0,0.7142423557137246,0.0,0.0,1.0
0.340000,1.0,0.7142423557137246,0.0,0.0,1.0
0.350000,1.0,0.7142423557137246,0.0,0.0,1.0
0.360000,1.0,0.7142423557137246,0.0,0.0,1.0
0.370000,1.0,0.7142423557137246,0.0,0.0,1.0
0.380000,1.0,0.7142423557137246,0.0,0.0,1.0
0.390000,1.0,0.7142423557137246,0.0,0.0,1.0
0.400000,1.0,0.7142423557137246,0.0,0.0,1.0
0.410000,1.0,0.7142423557137246,0.0,0.0,1.0
0.420000,1.0,0.7142423557137246,0.0,0.0,1.0
0.430000,1.0,0.7142423557137246,0.0,0.0,1.0
0.440000,1.0,0.7142423557137246,0.0,0.0,1.0
0.450000,1.0,0.7142423557137246,0.0,0.0,1.0
0.460000,1.0,0.7142423557137246,0.0,0.0,1.0
0.470000,1.0,0.7142423557137246,0.0,0.0,1.0
0.480000,1.0,0.7142423557137246,0.0,0.0,1.0
0.490000,1.0,0.7142423557137246,0.0,0.0,1.0
0.500000,1.0,0.7142423557137246,0.0,0.0,1.0
0.510000,1.0,0.7142423557137246,0.0,0.0,1.0
0.520000,1.0,0.7142423557137246,0.0,0.0,1.0
0.530000,1.0,0.7142423557137246,0.0,0.0,1.0
0.540000,1.0,0.7142423557137246,0.0,0.0,1.0
0.550000,1.0,0.7142423557137246,0.0,0.0,1.0
0.560000,1.0,0.7142423557137246,0.0,0.0,1.0
0.570000,1.0,0.7142423557137246,0.0,0.0,1.0
0.580000,1.0,0.7142423557137246,0.0,0.0,1.0
0.590000,1.0,0.7142423557137246,0.0,0.0,1.0
0.600000,1.0,0.7142423557137246,0.0,0.0,1.0
0.610000,1.0,0.7142423557137246,0.0,0.0,1.0
0.620000,1.0,0.7142423557137246,0.0,0.0,1.0
0.630000,1.0,0.7142423557137246,0.0,0.0,1.0
0.640000,1.0,0.7142423557137246,0.0,0.0,1.0
0.650000,1.0,0.7142423557137246,0.0,0.0,1.0
0.660000,1.0,0.7142423557137246,0.0,0.0,1.0
0.670000,1.0,0.7142423557137246,0.0,0.0,1.0
0.680000,1.0,0.7142423557137246,0.0,0.0,1.0
0.690000,1.0,0.7142423557137246,0.0,0.0,1.0
0.700000,1.0,0.7142423557137246,0.0,0.0,1.0
0.710000,1.0,0.7142423557137246,0.0,0.0,1.0
0.720000,1.0,0.7142423557137246,0.0,0.0,1.0
0.730000,1.0,0.7142423557137246,0.0,0.0,1.0
0.740000,1.0,0.7142423557137246,0.0,0.0,1.0
0.750000,1.0,0.7142423557137246,0.0,0.0,1.0
0.760000,1.0,0.7142423557137246,0.0,0.0,1.0
0.770000,1.0,0.7142423557137246,0.0,0.0,1.0
0.780000,1.0,0.7142423557137246,0.0,0.0,1.0
0.790000,1.0,0.7142423557137246,0.0,0.0,1.0
0.800000,1.0,0.7142423557137246,0.0,0.0,1.0
